"postureName";"convexity";"eccentricity";"compactness";"circularity";"squareness";"convexityDefects";"nu00";"nu11";"nu02";"nu30";"nu21";"nu12";"nu03";"arm0";"arm1";"arm2";"arm3";"arm4";"arm5";"arm6";"arm7";"arm8";"arm9";"arm10";"arm11";"arm12";"arm13";"arm14";"arm15";"head0";"head1";"head2";"head3";"head4";"head5";
"bent";0.721557;0.68996;0.468734;0.488676;0.592098;1;0.1212;-0.054371;0.104307;0.021058;-0.002954;-0.008972;0.015212;-49.9725;60.011;0.0380398;39.956;-0.000424526;0.000204403;-8.17611e-05;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.73606;0.705388;0.505059;0.527621;0.638733;1;0.113657;-0.048258;0.099176;0.017158;-0.001575;-0.006974;0.011459;-49.9725;60.011;0.0380398;39.956;10;0.000204403;-8.17611e-05;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.730253;0.645914;0.468839;0.473457;0.580296;1;0.120816;-0.057179;0.110112;0.022763;-0.006251;-0.008263;0.01819;-49.9725;60.011;0.0380398;39.956;-10;0.000204403;-8.17611e-05;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.724721;0.677436;0.461301;0.470871;0.579895;1;0.154148;-0.04598;0.078443;0.021622;0.007664;-0.012226;0.008448;-49.9725;60.011;0.0380398;39.956;0;15;-8.17611e-05;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.739404;0.709669;0.510512;0.540247;0.636928;1;0.083547;-0.04139;0.126856;0.01162;-0.007899;0.000877;0.013417;-49.9725;60.011;0.0380398;39.956;0;-15;-8.17611e-05;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.723085;0.71093;0.442559;0.464952;0.592651;2;0.122318;-0.059342;0.11172;0.022477;-0.003991;-0.008612;0.017369;-49.9725;60.011;0.0380398;39.956;0;0;-10;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.732685;0.685839;0.459849;0.473349;0.624876;2;0.095784;-0.053892;0.130141;0.016021;-0.00825;-0.00145;0.016814;-49.9725;60.011;0.0380398;39.956;0;-10;-15;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.730368;0.697182;0.484162;0.488038;0.682896;2;0.065075;-0.026177;0.144034;0.003602;-0.005334;0.008789;0.00492;-49.9725;60.011;0.0380398;39.956;0;-30;-15;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.725482;0.702724;0.486842;0.501945;0.681085;2;0.064205;-0.022951;0.143567;0.003777;-0.004984;0.008381;0.004709;-49.9725;60.011;0.0380398;39.956;0;-30;-10;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.745063;0.731495;0.52323;0.551908;0.674176;1;0.063291;-0.010951;0.137596;0.002907;-0.004337;0.008422;0.00499;-60;60.011;0.0380398;39.956;0;-30;0;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.766673;0.789639;0.571024;0.615717;0.681883;1;0.064623;-0.010255;0.126404;0.002212;-0.004337;0.007118;0.004804;-60;60.011;0.0380398;39.956;0;-30;8;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.735619;0.741086;0.498185;0.507083;0.66997;2;0.062225;-0.013005;0.144625;0.003094;-0.004618;0.009282;0.005144;-60;60.011;0.0380398;39.956;0;-30;-8;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
"bent";0.717904;0.740766;0.489774;0.492499;0.704461;2;0.060166;0.004403;0.141572;0.001493;-9.2e-05;0.00857;-0.002117;-60;60.011;0.0380398;39.956;0;-40;-8;0;9.63818;55.0038;33.7985;77.54;10.047;82.1964;32.7215;125.457;-30;0;30;0;0;0;
